time_s,mean,std,seed0,seed1,seed2,seed3,seed4
100.00,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
100.25,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
100.50,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
100.75,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
101.00,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
101.25,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
101.50,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
101.75,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
102.00,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
102.25,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
102.50,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
102.75,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
103.00,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
103.25,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
103.50,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
103.75,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
104.00,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
104.25,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
104.50,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
104.75,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
105.00,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
105.25,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
105.50,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
105.75,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
106.00,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
106.25,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
106.50,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
